area,city,country,hotel_star_rating,latitude,longitude,mmt_location_rating,mmt_review_count,mmt_review_score,mmt_traveller_type_review_count,mmt_tripadvisor_count,property_address,property_id,property_name,property_type,room_types,site_review_rating,traveller_rating,uniq_id,Location,Hospitality,Facilities,Cleanliness,Value for Money,Food
National Highway No.-8,Udaipur,Hotel,1,24.615796,73.707245,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},0.0,"Near Celebration Mall, Opp Parmanand Ashram, Bhuwana , National Highway No.-8",201409042126545939,Everest Resort,Hotel,Hotel,0.0,0,cbc02f395d2dd1c2b103db1dd755afdc,0.0,0.0,0.0,0.0,0.0,0.0
Gulab Bagh Road,Udaipur,Hotel,3,24.57687,73.694619,0,0.0,4.8,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},33.0,"16, Guluab Bagh Road, Near Hariyali Restaurant , Gulab Bagh Road",201409050811541768,Hotel Mukund Villas,Hotel,Hotel,4.8,0,73b4e3da401bf2fe04327e858a78e08d,0.0,0.0,0.0,0.0,0.0,0.0
City Station Road,Udaipur,Hotel,1,24.5769,73.6995,0,0.0,2.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},0.0,"1-E, City Station Road, Near Bus Stop , City Station Road",201409050830368926,Hotel Paras,Hotel,Hotel,2.0,0,985eee286abe777c60278b596677f5dd,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur Railway Station,Udaipur,Hotel,1,24.573297,73.699672,0,0.0,4.5,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},43.0,"20 A, Shivaji Nagar, Nr City Railway Station , Udaipur Railway Station",201409051253036999,Hotel Jagat Villa,Hotel,Hotel,4.5,0,00c709e14983da08dcf4fbc487155e41,0.0,0.0,0.0,0.0,0.0,0.0
Udaipole,Udaipur,Hotel,3,24.577341,73.700399,0,0.0,4.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},46.0,"2b, Hotel Street, Opposite ICICI Bank, , Udaipole",201409051552355228,Shree Narayana,Hotel,Hotel,4.0,0,5792c43f1737416fc528db75f5f9ca4c,0.0,0.0,0.0,0.0,0.0,0.0
Udaipole,Udaipur,Hotel,1,24.5773,73.7014,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},0.0,"33, Hotel Street, Udaipole , Udaipole",201409051812195388,Hotel Sunder,Hotel,Hotel,0.0,0,131b2b9c2f48017621dc55e3258e2e91,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,Udaipur,Hotel,1,24.583848,73.651997,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},1.0,"Rampura Choraha ,",201409051924524939,Blue Mountain Hotel,Hotel,Hotel,0.0,0,c106f07e01296061d52751ceb34d7f05,0.0,0.0,0.0,0.0,0.0,0.0
Udiapol Road,Udaipur,Hotel,2,24.576239,73.696768,0,0.0,4.2,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},16.0,"Inside Udiapole, Near Bus Stand , Udiapol Road",20140908115843553,Hotel Shalimar Palace,Hotel,Hotel,4.2,0,7fe13291c78c84e3707b8f4fa1d8a521,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,Udaipur,Hotel,3,24.609454,73.660771,0,0.0,4.5,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},134.0,"Adjacent Shilp Gram, Near Fateh Sagar Lake, Rani Road ,",201409091041215282,Amantra Shilpi Resort,Hotel,Hotel,4.5,0,151fdf9c89ecb3d69c4d0e85019df964,0.0,0.0,0.0,0.0,0.0,0.0
Ambavgarh,Udaipur,Hotel,1,24.591,73.6805,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},23.0,"F-18, Nr Fateh Sagar Lake,Opp Hiltop Hotel , Ambavgarh",201411101704476212,Hotel Kalika Palace,Hotel,Hotel,0.0,0,1d16ea31139bac48695066235db74b81,0.0,0.0,0.0,0.0,0.0,0.0
University Road,Udaipur,Hotel,1,24.5931,73.7098,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},21.0,"1 new bhopal pura 100 ft road , University Road",201411131515162182,The Royal Inn,Hotel,Hotel,0.0,0,65b0a62fdbb143286b98c227c92d5448,0.0,0.0,0.0,0.0,0.0,0.0
Sethji Ki Kundal,Udaipur,Hotel,3,24.504458,73.657987,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},110.0,"Opp Indo American Public School, Seth ji ki kundal Balicha NH8 , Sethji Ki Kundal",201411131703039761,The Amargarh Resort,Hotel,Hotel,0.0,0,7f9cc2be73f0d4e901561dfd2732cb66,0.0,0.0,0.0,0.0,0.0,0.0
City Palace,Udaipur,Hotel,2,24.578484,73.684716,0,0.0,3.9,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},44.0,"15 Sahiwalo ki gali, Bhatiyani Chotta , City Palace",201411142133215025,Janak Niwas Guest House,Hotel,Hotel,3.9,0,313daf951687c68a89c578b2aea292bb,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,Udaipur,Hotel,1,24.585837,73.649029,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},3.0,"Rampura Chourah ,Rampura Chauraha, Udaipur ,",201411181754318641,Adarsh Resort Udaipur,Hotel,Hotel,0.0,0,370c2d9e5698b6b22f58ffe5358e8690,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur Railway Station,Udaipur,Hotel,4,24.5683,73.6991,0,0.0,4.5,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},39.0,"City Railway Station, Udaipur , Udaipur Railway Station",201412101136318724,Le Roi Udaipur,Hotel,Hotel,4.5,0,8065a749a72b27dc3b435f7966c60d4f,0.0,0.0,0.0,0.0,0.0,0.0
DevraUdaipur  Rajasthan,Udaipur,Hotel,1,24.581349,73.682387,0,0.0,4.9,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},259.0,"40 Ganesh Gati ,near Gadiya , DevraUdaipur Rajasthan",201412122058181495,Udai Haveli Guest House,Hotel,Hotel,4.9,0,a7cae6b6d041190192afdc66a175b55c,0.0,0.0,0.0,0.0,0.0,0.0
C.V. Singh Colony,Jaisalmer,Hotel,1,26.913377,70.918887,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,0.0,C.V.Singh Colony Opp Collector Office,201111031114538211,Hotel Suman Palace,Hotel,Hotel,0.0,0,ec377a9baa290b158958c4c0fb30643e,0.0,0.0,0.0,0.0,0.0,0.0
Neemrana,Neemrana,Hotel,1,0.0,0.0,0,0.0,0.0,0,0.0,Near Raath InternationalSchool Between Delhi  JaipurNational,201601061743146755,RAJ MAHAL RESORT,Hotel,Hotel,0.0,0,28816b246828bae05645998bc1e3a470,0.0,0.0,0.0,0.0,0.0,0.0
Mall Road,Manali,Hotel,2,32.245327,77.18922,0,0.0,0.0,0,3.0,"Adarsh Market, The Mall Manali",201512021800384436,New Adarsh Annexe,Hotel,Hotel,0.0,0,e8c486e8e92f06d111a04f9cd7f1ba3a,0.0,0.0,0.0,0.0,0.0,0.0
Hyderabad,Hyderabad,Hotel,1,17.438037,78.389837,Location:5.0,1.0,5.0,Family:0|Couple:0|Solo:0|Friends:0|Business:1,4.0,"Plot No 2, Brindavan Colony Near Nector Gardens, Madhapur Hyderabad",201409031836333494,Luxor Park,Hotel,Hotel,0.0,Location:5.0/5 | Hospitality:5.0/5 | Facilities:5.0/5 | Cleanliness:5.0/5 | Value for Money:5.0/5 | Food:5.0/5,b4469ff784a76b515987bdc5b803d726,5.0,5.0,5.0,5.0,5.0,5.0
CVS Colony,Jaisalmer,Hotel,2,26.8972,70.5993,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,40.0,"CVS Colony, jaisalmer CVS Colony",201210101234036532,Hotel Ajanta Haveli,Hotel,Hotel,0.0,0,80cf5ec53403e97bdd1844ed2be5cfb5,0.0,0.0,0.0,0.0,0.0,0.0
Mussoorie,Mussoorie,Hotel,2,30.454533,78.081074,Location:2.5,2.0,5.0,Family:0|Couple:0|Solo:1|Friends:0|Business:0,0.0,"Kulri, The Mall Rd, Mussoorie, Uttarakhand 248179",201411071306207022,Hotel PikNik,Hotel,Hotel,0.0,Location:2.5/5 | Hospitality:2.5/5 | Facilities:5.0/5 | Cleanliness:5.0/5 | Value for Money:2.5/5 | Food:2.5/5,eeb5c011b01c59b88bedf0af37df4b0f,2.5,2.5,5.0,5.0,2.5,2.5
Munnar,Munnar,Homestay,0,0.0,0.0,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,0.0,"The kenstar powerhouse, chithirapuram, Idduki, Kerala",201410311142384655,The Kensar Homestay,Homestay,Homestay,0.0,0,f4aec85e1bc4ab10e263794e9b3a908e,0.0,0.0,0.0,0.0,0.0,0.0
Gandhinagar,Gandhinagar,Hotel,1,23.23116,72.649365,0,0.0,0.0,0,0.0,"plot No 436, GH-5 Road Sector 16, Gandhinagar",201512081523376313,Hotel Vasundhra,Hotel,Hotel,0.0,0,3fc30efc41cfbf05882eaea8bc5d6072,0.0,0.0,0.0,0.0,0.0,0.0
Nahan,Nahan,Hotel,1,30.438177,77.577047,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,13.0,"paonta sahib , distt sirmour, HP",201409101327032320,Hotel Grand Riviera,Hotel,Hotel,0.0,0,9e3dbcb0019572488ac873ad0fc5e700,0.0,0.0,0.0,0.0,0.0,0.0
Jammu-Pathankot Highway NH-1A,Jammu,Hotel,4,32.596574,74.959716,Location:4.2,18.0,4.3,Family:6|Couple:5|Solo:5|Friends:0|Business:0,45.0,"NH A1, Vijaypur",201305251707236820,Hotel 17 Miles,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:4.3/5 | Facilities:4.2/5 | Cleanliness:4.4/5 | Value for Money:4.3/5 | Food:2.9/5,ba8836b9d3c62dcecf4c458781f6310b,4.2,4.3,4.2,4.4,4.3,2.9
Katra,Katra,Hotel,1,32.988833,74.928142,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,1.0,railway road kundorian,201410312258072069,Pratap Resort,Hotel,Hotel,0.0,0,ab7a1dc8277c4e2e0fe1e454f90b3301,0.0,0.0,0.0,0.0,0.0,0.0
Robinson,Palakkad,Hotel,3,10.769421,76.656247,Location:4.6,36.0,4.4,Family:11|Couple:4|Solo:16|Friends:0|Business:1,38.0,"Robinson Road, Palakkad Palakkad",201409290936463700,Sayoojyam Residency,Hotel,Hotel,0.0,Location:4.6/5 | Hospitality:4.3/5 | Facilities:4.2/5 | Cleanliness:4.3/5 | Value for Money:4.3/5 | Food:1.9/5,b07f4cbccc8b15d50af6f16af7ea8f90,4.6,4.3,4.2,4.3,4.3,1.9
Central avenue,Nagpur,Hotel,1,21.151397,79.098131,Location:3.8,32.0,3.1,Family:4|Couple:1|Solo:17|Friends:0|Business:2,26.0,"51, Central Avenue Opp. Gitanjali Cinema",201107170934056681,Hotel Woodlands,Hotel,Hotel,0.0,Location:3.8/5 | Hospitality:2.7/5 | Facilities:2.9/5 | Cleanliness:3.0/5 | Value for Money:2.8/5 | Food:2.0/5,41dbe2c4528031428219f8128a0fd604,3.8,2.7,2.9,3.0,2.8,2.0
Mussoorie,Mussoorie,Hotel,2,0.0,0.0,0,0.0,0.0,0,0.0,"picture palace, landour bazar, clock tower, mussoorie",201605101510114757,Hotel Castle View,Hotel,Hotel,0.0,0,66ea86ef57a017814277f26a934a81b8,0.0,0.0,0.0,0.0,0.0,0.0
Loghut Road,Manali,Hotel,2,32.248894,77.185981,Location:4.6,33.0,4.5,Family:15|Couple:12|Solo:1|Friends:0|Business:0,63.0,"CIRCUIT HOUSE, NEAR MALL ROAD Hadimba Road",200707121231385584,Snow Line,Hotel,Hotel,0.0,Location:4.6/5 | Hospitality:4.6/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:1.4/5,38db340c70ecbdcaa081e41fa1153c60,4.6,4.6,4.4,4.2,4.5,1.4
Gandhinagar,Gandhinagar,Hotel,3,23.230765,72.646536,0,0.0,0.0,0,0.0,"Plot No448, 2nd Floor, Sector-16, Gandhinagar",20160118182420551,Hotel Neelkamal,Hotel,Hotel,0.0,0,6168aa88940e5d99bc941dfd1cada9ee,0.0,0.0,0.0,0.0,0.0,0.0
Suryanelli,Munnar,Hotel,3,10.042304,77.178551,Location:4.2,61.0,3.9,Family:24|Couple:17|Solo:0|Friends:0|Business:0,115.0,"Chinnakkanal, Munnar Chinnakanal, Munnar",200904230920306389,Holiday Heaven,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:4.1/5 | Facilities:3.8/5 | Cleanliness:3.9/5 | Value for Money:4.0/5 | Food:3.7/5,26844a9fd617b629d5dfa51c07f5ffe1,4.2,4.1,3.8,3.9,4.0,3.7
Ballygunge,Kolkata,Hotel,3,22.533848,88.353182,Location:4.1,47.0,3.7,Family:2|Couple:11|Solo:8|Friends:1|Business:3,71.0,"35A, Sarat Bose Road Bhawanipur,South Kolkata",200701111339522408,The Samilton,Hotel,Hotel,0.0,Location:4.1/5 | Hospitality:3.9/5 | Facilities:3.5/5 | Cleanliness:3.7/5 | Value for Money:3.5/5 | Food:2.9/5,a869e4a730a1ac8e933cde3feb0ddb6d,4.1,3.9,3.5,3.7,3.5,2.9
Mysore,Mysore,Hotel,1,12.421516,76.681695,Location:4.3,14.0,3.4,Family:6|Couple:6|Solo:0|Friends:2|Business:0,58.0,"State Highway 17, Karnataka",201412012105533887,Amblee Holiday Resort,Hotel,Hotel,0.0,Location:4.3/5 | Hospitality:3.2/5 | Facilities:3.0/5 | Cleanliness:2.9/5 | Value for Money:3.2/5 | Food:3.2/5,bafb9369e4780ed23b441c50f26993ba,4.3,3.2,3.0,2.9,3.2,3.2
Kunchithanny,Munnar,Hotel,3,9.989989,77.06995,Location:4.6,13.0,4.4,Family:3|Couple:8|Solo:0|Friends:1|Business:0,115.0,"Thekkinkanam, Munnar, Idukki, Kerala Kunjithanni, Munnar",201411061037569882,The Aruvi Resort,Hotel,Hotel,0.0,Location:4.6/5 | Hospitality:4.5/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:4.2/5,81f2c50e5c8c0aa2873064f59b837896,4.6,4.5,4.4,4.2,4.5,4.2
Munnar,Munnar,Hotel,1,10.03104,77.047384,0,0.0,0.0,0,0.0,Power house Road,201503041447078684,Winter Casa Resort,Hotel,Hotel,0.0,0,462c3e9a6bfe8a7a69308c30dcfee261,0.0,0.0,0.0,0.0,0.0,0.0
Patnitop,Patnitop,Hotel,1,0.0,0.0,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,0.0,Near Nag Mandir,201512281813518579,Hotel Dogra Residency,Hotel,Hotel,0.0,0,d210a101f76e59bf4b2e5d9dfd8b4377,0.0,0.0,0.0,0.0,0.0,0.0
Panchavati,Nasik,Hotel,2,20.008587,73.794296,0,0.0,0.0,0,0.0,"Malviya Chowk, Panchavati, Nashik malviya chowk panchvati nashik",201602241249595004,Singhania Guest House,Hotel,Hotel,0.0,0,04f385a50ecbb2542f6cf204c7a6b5f9,0.0,0.0,0.0,0.0,0.0,0.0
Kasol,Kasol,Hotel,1,32.009549,77.316763,Location:3.0,3.0,2.6,Family:0|Couple:1|Solo:0|Friends:2|Business:0,0.0,New Kasol Parvati Valley Distt Kullu,201410262235164601,Hotel Krishna Palace,Hotel,Hotel,0.0,Location:3.0/5 | Hospitality:2.7/5 | Facilities:2.3/5 | Cleanliness:2.7/5 | Value for Money:2.7/5 | Food:2.7/5,e747c305962f4475a0f17e3714bf3654,3.0,2.7,2.3,2.7,2.7,2.7
Bhatinda,Bhatinda,Hotel,1,0.0,0.0,0,0.0,0.0,0,0.0,"Z-1, 10663, Gandhi Market, Near Railway Station Bhatinda",201606141553145123,DI Residency,Hotel,Hotel,0.0,0,1006e415fed9f96fa44823acc9bd1fba,0.0,0.0,0.0,0.0,0.0,0.0
Itanagar,Itanagar,Hotel,1,0.0,0.0,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,0.0,itanagar,201411261548083632,Hotel Kameng,Hotel,Hotel,0.0,0,958302e02dc10a4dedc58059f334f580,0.0,0.0,0.0,0.0,0.0,0.0
Nasik,Nasik,Hotel,1,0.0,0.0,0,0.0,0.0,0,0.0,"FCI Road, Near State Bank of India, Dist Nashik, Manmad",201604261849169602,Hotel Shree Leela International Manmad,Hotel,Hotel,0.0,0,6ae45e6e20c45c85f2c623b9287e97d5,0.0,0.0,0.0,0.0,0.0,0.0
Mallital,Nainital,Hotel,2,29.398018,79.444534,Location:2.8,9.0,3.1,Family:2|Couple:1|Solo:0|Friends:0|Business:0,31.0,"Alpine Club, Aryapatta Hill,Near Aurobindo Ashram Near Arbindo Ashram Ayarpatta Mallital",200701171726257696,Alpine Club,Hotel,Hotel,0.0,Location:2.8/5 | Hospitality:2.2/5 | Facilities:3.0/5 | Cleanliness:3.2/5 | Value for Money:2.8/5 | Food:0.8/5,750f0045a2c20cb170c760eb67469152,2.8,2.2,3.0,3.2,2.8,0.8
Chaturbhuj,Orchha,Hotel,1,25.351837,78.636118,Location:4.9,9.0,4.8,Family:3|Couple:2|Solo:1|Friends:0|Business:0,8.0,Behind Ram Raja temple near laxmi mandir road,20140827145816799,Hotel Sunset,Hotel,Hotel,0.0,Location:4.9/5 | Hospitality:4.8/5 | Facilities:4.8/5 | Cleanliness:4.2/5 | Value for Money:4.8/5 | Food:1.7/5,401149610d8655fc2cd25bad48063987,4.9,4.8,4.8,4.2,4.8,1.7
Junagarh,Junagarh,Hotel,1,21.523497,70.455288,0,0.0,0.0,Family:0|Couple:0|Solo:0|Friends:0|Business:0,14.0,Opp. ST Stand,20120302102158449,Hotel Vishala,Hotel,Hotel,0.0,0,a8cb36629663b9751371e47e8ed06cef,0.0,0.0,0.0,0.0,0.0,0.0
Hawa Beach,Kovalam and Poovar,Hotel,3,8.38637,76.978122,Location:4.6,88.0,3.5,Family:44|Couple:20|Solo:4|Friends:2|Business:1,153.0,"Hawa Beach, Kovalam Hawa Beach, Kovalam",201105281718097826,Hotel Pappukutty Beach Resort,Hotel,Hotel,0.0,Location:4.6/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.3/5 | Food:2.9/5,093fcb0a83c7d0c5cef7e582dd03964e,4.6,3.2,3.2,3.2,3.3,2.9
